source_ip,destination_ip,protocol,bytes,packets,label
192.168.1.10,10.0.0.5,TCP,500,10,Normal
192.168.1.11,10.0.0.8,TCP,650,12,Normal
192.168.1.12,10.0.0.2,UDP,800,15,Normal
192.168.1.13,10.0.0.9,TCP,15000,300,Attack
192.168.1.14,10.0.0.5,UDP,900,18,Normal
192.168.1.15,10.0.0.3,TCP,700,11,Normal
192.168.1.16,10.0.0.8,TCP,20000,350,Attack
192.168.1.17,10.0.0.2,UDP,600,13,Normal
192.168.1.18,10.0.0.9,TCP,18000,280,Attack
192.168.1.19,10.0.0.5,UDP,750,16,Normal
192.168.1.20,10.0.0.3,TCP,550,9,Normal
192.168.1.21,10.0.0.8,TCP,25000,400,Attack
